danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_name
0.746,0.557,0,-15.489,0,0.0735,0.11,0.776,0.0952,0.0937,125.009,audio_features,59TtZwHKmTWhbZ5xOBGB7q,spotify:track:59TtZwHKmTWhbZ5xOBGB7q,https://api.spotify.com/v1/tracks/59TtZwHKmTWhbZ5xOBGB7q,https://api.spotify.com/v1/audio-analysis/59TtZwHKmTWhbZ5xOBGB7q,470018,4,pink
0.642,0.681,11,-14.59,1,0.0468,0.0518,0.923,0.0974,0.335,132.994,audio_features,0RG0F3JOQY6bQeXkXqTfCo,spotify:track:0RG0F3JOQY6bQeXkXqTfCo,https://api.spotify.com/v1/tracks/0RG0F3JOQY6bQeXkXqTfCo,https://api.spotify.com/v1/audio-analysis/0RG0F3JOQY6bQeXkXqTfCo,382672,4,pink
0.633,0.674,10,-11.798,0,0.0477,0.0651,0.895,0.111,0.331,123.997,audio_features,59GfUnGp6vrgZIeZhlgROU,spotify:track:59GfUnGp6vrgZIeZhlgROU,https://api.spotify.com/v1/tracks/59GfUnGp6vrgZIeZhlgROU,https://api.spotify.com/v1/audio-analysis/59GfUnGp6vrgZIeZhlgROU,435480,4,pink
0.761,0.699,5,-11.836,0,0.0597,0.0474,0.848,0.0934,0.643,118.001,audio_features,1RL9gghbn6lqDyCTPteNfB,spotify:track:1RL9gghbn6lqDyCTPteNfB,https://api.spotify.com/v1/tracks/1RL9gghbn6lqDyCTPteNfB,https://api.spotify.com/v1/audio-analysis/1RL9gghbn6lqDyCTPteNfB,327458,4,pink
0.0744,0.129,5,-23.929,0,0.038,0.808,0.869,0.0998,0.0841,80.046,audio_features,5HyHcVDIdda1M2SsAPVszp,spotify:track:5HyHcVDIdda1M2SsAPVszp,https://api.spotify.com/v1/tracks/5HyHcVDIdda1M2SsAPVszp,https://api.spotify.com/v1/audio-analysis/5HyHcVDIdda1M2SsAPVszp,368478,4,pink
0.359,0.832,4,-11.673,0,0.0531,0.0394,0.849,0.223,0.189,119.973,audio_features,6gHf1zomfvUf890Dr7S7Hq,spotify:track:6gHf1zomfvUf890Dr7S7Hq,https://api.spotify.com/v1/tracks/6gHf1zomfvUf890Dr7S7Hq,https://api.spotify.com/v1/audio-analysis/6gHf1zomfvUf890Dr7S7Hq,556000,4,pink
0.625,0.59,8,-19.526,1,0.0414,0.591,0.952,0.134,0.105,126.005,audio_features,3J4eEioZZgEZKo4weV4fst,spotify:track:3J4eEioZZgEZKo4weV4fst,https://api.spotify.com/v1/tracks/3J4eEioZZgEZKo4weV4fst,https://api.spotify.com/v1/audio-analysis/3J4eEioZZgEZKo4weV4fst,373950,4,pink
0.453,0.857,6,-10.954,0,0.0525,0.024,0.921,0.115,0.862,124.324,audio_features,6xRIPyQUgWj2uBq3dQLJPU,spotify:track:6xRIPyQUgWj2uBq3dQLJPU,https://api.spotify.com/v1/tracks/6xRIPyQUgWj2uBq3dQLJPU,https://api.spotify.com/v1/audio-analysis/6xRIPyQUgWj2uBq3dQLJPU,598152,4,pink
0.717,0.298,5,-21.167,0,0.0541,0.696,0.92,0.0972,0.653,125.001,audio_features,0I91CJbfao9RJjkRWjVfy0,spotify:track:0I91CJbfao9RJjkRWjVfy0,https://api.spotify.com/v1/tracks/0I91CJbfao9RJjkRWjVfy0,https://api.spotify.com/v1/audio-analysis/0I91CJbfao9RJjkRWjVfy0,493492,4,pink
0.727,0.598,6,-12.26,1,0.0565,0.000552,0.913,0.113,0.409,130.008,audio_features,1UwY5v29Q3rfG0Zu5vOtyQ,spotify:track:1UwY5v29Q3rfG0Zu5vOtyQ,https://api.spotify.com/v1/tracks/1UwY5v29Q3rfG0Zu5vOtyQ,https://api.spotify.com/v1/audio-analysis/1UwY5v29Q3rfG0Zu5vOtyQ,323077,3,pink
0.802,0.623,7,-12.179,1,0.0572,0.0742,0.835,0.0879,0.0354,116.982,audio_features,4JNkt8DUsVf3PKkks17OBW,spotify:track:4JNkt8DUsVf3PKkks17OBW,https://api.spotify.com/v1/tracks/4JNkt8DUsVf3PKkks17OBW,https://api.spotify.com/v1/audio-analysis/4JNkt8DUsVf3PKkks17OBW,409677,4,pink
0.505,0.555,1,-14.781,1,0.0331,0.0625,0.926,0.111,0.384,126.129,audio_features,7e8A5Jg2OY3xNOiQkZXClk,spotify:track:7e8A5Jg2OY3xNOiQkZXClk,https://api.spotify.com/v1/tracks/7e8A5Jg2OY3xNOiQkZXClk,https://api.spotify.com/v1/audio-analysis/7e8A5Jg2OY3xNOiQkZXClk,518220,4,pink
0.643,0.659,5,-14.754,0,0.0426,0.66,0.933,0.11,0.61,125.995,audio_features,5QUrf9m0pRYani3wEeXTlH,spotify:track:5QUrf9m0pRYani3wEeXTlH,https://api.spotify.com/v1/tracks/5QUrf9m0pRYani3wEeXTlH,https://api.spotify.com/v1/audio-analysis/5QUrf9m0pRYani3wEeXTlH,456419,4,pink
0.653,0.407,7,-17.596,1,0.0533,0.000458,0.856,0.09,0.0379,124.002,audio_features,2dkPQWL3DrOqY0YOJIDoMa,spotify:track:2dkPQWL3DrOqY0YOJIDoMa,https://api.spotify.com/v1/tracks/2dkPQWL3DrOqY0YOJIDoMa,https://api.spotify.com/v1/audio-analysis/2dkPQWL3DrOqY0YOJIDoMa,360000,4,pink
0.715,0.613,10,-13.338,0,0.0555,0.16,0.878,0.0996,0.3,126.013,audio_features,2D5fzycrDxNWHTyXeAVKPa,spotify:track:2D5fzycrDxNWHTyXeAVKPa,https://api.spotify.com/v1/tracks/2D5fzycrDxNWHTyXeAVKPa,https://api.spotify.com/v1/audio-analysis/2D5fzycrDxNWHTyXeAVKPa,461163,4,pink
0.768,0.879,7,-10.829,1,0.0503,0.00819,0.923,0.113,0.135,137.011,audio_features,3uTT6SGgbCEsPWjwV4Y3V7,spotify:track:3uTT6SGgbCEsPWjwV4Y3V7,https://api.spotify.com/v1/tracks/3uTT6SGgbCEsPWjwV4Y3V7,https://api.spotify.com/v1/audio-analysis/3uTT6SGgbCEsPWjwV4Y3V7,325027,5,pink
0.429,0.541,7,-21.044,1,0.0713,0.887,0.945,0.0954,0.075,199.951,audio_features,0UOnjBmxnoampyKPp4UH9h,spotify:track:0UOnjBmxnoampyKPp4UH9h,https://api.spotify.com/v1/tracks/0UOnjBmxnoampyKPp4UH9h,https://api.spotify.com/v1/audio-analysis/0UOnjBmxnoampyKPp4UH9h,364800,3,pink
0.716,0.279,5,-16.468,1,0.0307,0.678,0.894,0.647,0.33,99.991,audio_features,5b7bVWF216mwd5G0iOKn3h,spotify:track:5b7bVWF216mwd5G0iOKn3h,https://api.spotify.com/v1/tracks/5b7bVWF216mwd5G0iOKn3h,https://api.spotify.com/v1/audio-analysis/5b7bVWF216mwd5G0iOKn3h,391197,4,pink
0.796,0.671,4,-15.652,0,0.0533,0.0653,0.924,0.246,0.111,122.01,audio_features,1XTdu7yWXMAzCptGZ8xQmc,spotify:track:1XTdu7yWXMAzCptGZ8xQmc,https://api.spotify.com/v1/tracks/1XTdu7yWXMAzCptGZ8xQmc,https://api.spotify.com/v1/audio-analysis/1XTdu7yWXMAzCptGZ8xQmc,424923,4,pink
0.797,0.691,1,-9.254,1,0.061,0.037,0.9,0.0905,0.389,119.99,audio_features,7JGsQPeoTuwpQTCZh130FR,spotify:track:7JGsQPeoTuwpQTCZh130FR,https://api.spotify.com/v1/tracks/7JGsQPeoTuwpQTCZh130FR,https://api.spotify.com/v1/audio-analysis/7JGsQPeoTuwpQTCZh130FR,309000,4,pink
0.697,0.677,10,-13.755,0,0.0603,0.359,0.907,0.113,0.259,125.006,audio_features,1QMltlOuqCutdrl2ofMGrE,spotify:track:1QMltlOuqCutdrl2ofMGrE,https://api.spotify.com/v1/tracks/1QMltlOuqCutdrl2ofMGrE,https://api.spotify.com/v1/audio-analysis/1QMltlOuqCutdrl2ofMGrE,418064,4,pink
0.323,0.282,2,-15.249,1,0.0308,0.977,0.806,0.0928,0.049,179.826,audio_features,13GTf7Zbni5PyPr9bCzrNI,spotify:track:13GTf7Zbni5PyPr9bCzrNI,https://api.spotify.com/v1/tracks/13GTf7Zbni5PyPr9bCzrNI,https://api.spotify.com/v1/audio-analysis/13GTf7Zbni5PyPr9bCzrNI,215500,3,pink
0.399,0.315,7,-22.314,1,0.0392,0.798,0.939,0.434,0.0505,89.985,audio_features,0JxYzv0KXh2XuC9EVANl9a,spotify:track:0JxYzv0KXh2XuC9EVANl9a,https://api.spotify.com/v1/tracks/0JxYzv0KXh2XuC9EVANl9a,https://api.spotify.com/v1/audio-analysis/0JxYzv0KXh2XuC9EVANl9a,277356,4,pink
0.787,0.552,2,-18.463,1,0.0496,0.718,0.908,0.11,0.0389,121.995,audio_features,6KOJ91rYLTy4TXaMxgxBll,spotify:track:6KOJ91rYLTy4TXaMxgxBll,https://api.spotify.com/v1/tracks/6KOJ91rYLTy4TXaMxgxBll,https://api.spotify.com/v1/audio-analysis/6KOJ91rYLTy4TXaMxgxBll,448959,3,pink
0.156,0.32,1,-18.227,1,0.0497,0.421,0.871,0.0966,0.0531,88.088,audio_features,4HxSxUgieYyCFOgBj1W0y5,spotify:track:4HxSxUgieYyCFOgBj1W0y5,https://api.spotify.com/v1/tracks/4HxSxUgieYyCFOgBj1W0y5,https://api.spotify.com/v1/audio-analysis/4HxSxUgieYyCFOgBj1W0y5,479999,4,pink
0.51,0.71,11,-18.191,0,0.0476,0.379,0.865,0.0921,0.0773,127.989,audio_features,3qH4NWM8iXkEMLpIMEEqaP,spotify:track:3qH4NWM8iXkEMLpIMEEqaP,https://api.spotify.com/v1/tracks/3qH4NWM8iXkEMLpIMEEqaP,https://api.spotify.com/v1/audio-analysis/3qH4NWM8iXkEMLpIMEEqaP,447089,4,pink
0.576,0.726,4,-11.738,0,0.0372,0.106,0.863,0.271,0.0604,123.988,audio_features,2gwrqcmWu4qWeaLq5EfsnU,spotify:track:2gwrqcmWu4qWeaLq5EfsnU,https://api.spotify.com/v1/tracks/2gwrqcmWu4qWeaLq5EfsnU,https://api.spotify.com/v1/audio-analysis/2gwrqcmWu4qWeaLq5EfsnU,387097,4,pink
0.647,0.691,4,-10.504,0,0.0367,0.00302,0.875,0.0988,0.0847,127.002,audio_features,2uNVgeqKzIzxhpkaXP2HaW,spotify:track:2uNVgeqKzIzxhpkaXP2HaW,https://api.spotify.com/v1/tracks/2uNVgeqKzIzxhpkaXP2HaW,https://api.spotify.com/v1/audio-analysis/2uNVgeqKzIzxhpkaXP2HaW,553701,4,pink
0.676,0.82,6,-11.827,1,0.0428,0.000509,0.866,0.378,0.18,117.003,audio_features,0DpkRS1cffZWm5U84WGBR8,spotify:track:0DpkRS1cffZWm5U84WGBR8,https://api.spotify.com/v1/tracks/0DpkRS1cffZWm5U84WGBR8,https://api.spotify.com/v1/audio-analysis/0DpkRS1cffZWm5U84WGBR8,506536,3,pink
0.658,0.505,6,-14.758,1,0.0497,0.00865,0.894,0.111,0.519,103.003,audio_features,5G7iEvbczLFcXqTbpsPWtl,spotify:track:5G7iEvbczLFcXqTbpsPWtl,https://api.spotify.com/v1/tracks/5G7iEvbczLFcXqTbpsPWtl,https://api.spotify.com/v1/audio-analysis/5G7iEvbczLFcXqTbpsPWtl,430115,4,pink
0.692,0.716,7,-12.105,1,0.0402,0.00175,0.882,0.0741,0.315,122.999,audio_features,0HcjEXebwsEQK2EXiHu3BG,spotify:track:0HcjEXebwsEQK2EXiHu3BG,https://api.spotify.com/v1/tracks/0HcjEXebwsEQK2EXiHu3BG,https://api.spotify.com/v1/audio-analysis/0HcjEXebwsEQK2EXiHu3BG,500216,4,blue
0.647,0.616,6,-11.806,1,0.0373,0.772,0.912,0.111,0.372,118.013,audio_features,3YVVKUhSpawI2ithcarRgg,spotify:track:3YVVKUhSpawI2ithcarRgg,https://api.spotify.com/v1/tracks/3YVVKUhSpawI2ithcarRgg,https://api.spotify.com/v1/audio-analysis/3YVVKUhSpawI2ithcarRgg,335842,4,blue
0.687,0.753,9,-10.661,0,0.0454,0.000182,0.859,0.051,0.598,143.028,audio_features,1AcEQuzCKa85MOnx6WMqyn,spotify:track:1AcEQuzCKa85MOnx6WMqyn,https://api.spotify.com/v1/tracks/1AcEQuzCKa85MOnx6WMqyn,https://api.spotify.com/v1/audio-analysis/1AcEQuzCKa85MOnx6WMqyn,247197,4,blue
0.72,0.677,3,-13.349,0,0.0426,0.117,0.936,0.112,0.584,120.006,audio_features,3gB8UXhTrbM9qejE3red7P,spotify:track:3gB8UXhTrbM9qejE3red7P,https://api.spotify.com/v1/tracks/3gB8UXhTrbM9qejE3red7P,https://api.spotify.com/v1/audio-analysis/3gB8UXhTrbM9qejE3red7P,484000,4,blue
0.674,0.667,6,-18.986,1,0.043,0.0691,0.848,0.308,0.0378,123.985,audio_features,3JZW6iTeO2Ho8lXk0LEOYO,spotify:track:3JZW6iTeO2Ho8lXk0LEOYO,https://api.spotify.com/v1/tracks/3JZW6iTeO2Ho8lXk0LEOYO,https://api.spotify.com/v1/audio-analysis/3JZW6iTeO2Ho8lXk0LEOYO,638710,4,blue
0.246,0.221,1,-23.569,0,0.065,0.982,0.934,0.27,0.033,141.025,audio_features,1N6uOhhRo8ZMYShurYfH3J,spotify:track:1N6uOhhRo8ZMYShurYfH3J,https://api.spotify.com/v1/tracks/1N6uOhhRo8ZMYShurYfH3J,https://api.spotify.com/v1/audio-analysis/1N6uOhhRo8ZMYShurYfH3J,1326000,4,blue
0.684,0.96,6,-8.605,1,0.0454,1.05E-05,0.896,0.0909,0.343,136.99,audio_features,6fr1g7TqyLtZC3WqSKovcb,spotify:track:6fr1g7TqyLtZC3WqSKovcb,https://api.spotify.com/v1/tracks/6fr1g7TqyLtZC3WqSKovcb,https://api.spotify.com/v1/audio-analysis/6fr1g7TqyLtZC3WqSKovcb,446626,4,blue
0.787,0.83,11,-5.786,1,0.0381,0.33,0.938,0.109,0.0742,129.995,audio_features,35QVQp2xnayyflqM83mSmG,spotify:track:35QVQp2xnayyflqM83mSmG,https://api.spotify.com/v1/tracks/35QVQp2xnayyflqM83mSmG,https://api.spotify.com/v1/audio-analysis/35QVQp2xnayyflqM83mSmG,299538,1,blue
0.777,0.91,4,-10.05,0,0.0412,0.00248,0.925,0.112,0.358,135.015,audio_features,5Gjy4xKZSHLlFjWaQ0qgTu,spotify:track:5Gjy4xKZSHLlFjWaQ0qgTu,https://api.spotify.com/v1/tracks/5Gjy4xKZSHLlFjWaQ0qgTu,https://api.spotify.com/v1/audio-analysis/5Gjy4xKZSHLlFjWaQ0qgTu,315234,4,blue
0.68,0.628,11,-11.377,0,0.062,0.000104,0.735,0.114,0.23,123.958,audio_features,0uX65S9mUj9xBQZO6YC9bh,spotify:track:0uX65S9mUj9xBQZO6YC9bh,https://api.spotify.com/v1/tracks/0uX65S9mUj9xBQZO6YC9bh,https://api.spotify.com/v1/audio-analysis/0uX65S9mUj9xBQZO6YC9bh,452919,4,blue
0.623,0.569,7,-17.256,1,0.0433,0.419,0.879,0.125,0.0604,127.991,audio_features,42WjfDtnP5Ktt8GzpPAwkq,spotify:track:42WjfDtnP5Ktt8GzpPAwkq,https://api.spotify.com/v1/tracks/42WjfDtnP5Ktt8GzpPAwkq,https://api.spotify.com/v1/audio-analysis/42WjfDtnP5Ktt8GzpPAwkq,405000,4,blue
0.662,0.412,8,-17.719,1,0.0381,0.284,0.949,0.0975,0.113,120.018,audio_features,24hEaPzg15qPoFzIEn98IZ,spotify:track:24hEaPzg15qPoFzIEn98IZ,https://api.spotify.com/v1/tracks/24hEaPzg15qPoFzIEn98IZ,https://api.spotify.com/v1/audio-analysis/24hEaPzg15qPoFzIEn98IZ,492408,4,blue
0.758,0.521,1,-8.837,1,0.0841,0.458,0.877,0.0617,0.285,134.968,audio_features,5hWQpqAGdn9EUTsXeLTEG6,spotify:track:5hWQpqAGdn9EUTsXeLTEG6,https://api.spotify.com/v1/tracks/5hWQpqAGdn9EUTsXeLTEG6,https://api.spotify.com/v1/audio-analysis/5hWQpqAGdn9EUTsXeLTEG6,394773,4,blue
0.588,0.511,11,-13.394,0,0.0394,0.000155,0.956,0.103,0.248,124.997,audio_features,34z31aetsx3JgXEuWeYbix,spotify:track:34z31aetsx3JgXEuWeYbix,https://api.spotify.com/v1/tracks/34z31aetsx3JgXEuWeYbix,https://api.spotify.com/v1/audio-analysis/34z31aetsx3JgXEuWeYbix,410145,4,blue
0.554,0.943,11,-8.934,0,0.0753,0.382,0.89,0.153,0.115,131.998,audio_features,3gg5juGZzZcJjcXyRWLCjs,spotify:track:3gg5juGZzZcJjcXyRWLCjs,https://api.spotify.com/v1/tracks/3gg5juGZzZcJjcXyRWLCjs,https://api.spotify.com/v1/audio-analysis/3gg5juGZzZcJjcXyRWLCjs,436365,4,blue
0.605,0.702,9,-12.031,0,0.062,0.548,0.89,0.0876,0.0823,112.02,audio_features,5jqJW9tITDRc7gyJLxzTL8,spotify:track:5jqJW9tITDRc7gyJLxzTL8,https://api.spotify.com/v1/tracks/5jqJW9tITDRc7gyJLxzTL8,https://api.spotify.com/v1/audio-analysis/5jqJW9tITDRc7gyJLxzTL8,383949,4,blue
0.725,0.962,7,-6.861,1,0.074,0.00606,0.906,0.0916,0.497,142.966,audio_features,6tkH1LfhiLA1xesGg5XCVb,spotify:track:6tkH1LfhiLA1xesGg5XCVb,https://api.spotify.com/v1/tracks/6tkH1LfhiLA1xesGg5XCVb,https://api.spotify.com/v1/audio-analysis/6tkH1LfhiLA1xesGg5XCVb,385500,4,blue
0.574,0.745,7,-10.278,1,0.0467,0.000299,0.831,0.108,0.0368,128.011,audio_features,6RLyLabnNlUyq5ePqBezOb,spotify:track:6RLyLabnNlUyq5ePqBezOb,https://api.spotify.com/v1/tracks/6RLyLabnNlUyq5ePqBezOb,https://api.spotify.com/v1/audio-analysis/6RLyLabnNlUyq5ePqBezOb,420000,4,blue
0.207,0.13,1,-20.633,1,0.051,0.917,0.845,0.169,0.0657,103.599,audio_features,3lo7f6hPjQiWhf1vWVwFDf,spotify:track:3lo7f6hPjQiWhf1vWVwFDf,https://api.spotify.com/v1/tracks/3lo7f6hPjQiWhf1vWVwFDf,https://api.spotify.com/v1/audio-analysis/3lo7f6hPjQiWhf1vWVwFDf,396000,5,blue
0.183,0.548,6,-12.017,0,0.0406,0.851,0.922,0.0948,0.184,199.901,audio_features,5uBEC59ZRcxNYeiyKp4yWf,spotify:track:5uBEC59ZRcxNYeiyKp4yWf,https://api.spotify.com/v1/tracks/5uBEC59ZRcxNYeiyKp4yWf,https://api.spotify.com/v1/audio-analysis/5uBEC59ZRcxNYeiyKp4yWf,326582,4,blue
0.399,0.315,7,-22.314,1,0.0392,0.798,0.939,0.434,0.0505,89.985,audio_features,0JxYzv0KXh2XuC9EVANl9a,spotify:track:0JxYzv0KXh2XuC9EVANl9a,https://api.spotify.com/v1/tracks/0JxYzv0KXh2XuC9EVANl9a,https://api.spotify.com/v1/audio-analysis/0JxYzv0KXh2XuC9EVANl9a,277356,4,blue
0.529,0.445,11,-16.918,1,0.0413,0.0319,0.792,0.506,0.268,126.997,audio_features,6BSqt9TiWdDiYR3DAvOal8,spotify:track:6BSqt9TiWdDiYR3DAvOal8,https://api.spotify.com/v1/tracks/6BSqt9TiWdDiYR3DAvOal8,https://api.spotify.com/v1/audio-analysis/6BSqt9TiWdDiYR3DAvOal8,468890,3,blue
0.648,0.589,0,-12.661,1,0.0351,0.182,0.911,0.148,0.0634,122.004,audio_features,1lLB0JErnXsekz6uMcAkiH,spotify:track:1lLB0JErnXsekz6uMcAkiH,https://api.spotify.com/v1/tracks/1lLB0JErnXsekz6uMcAkiH,https://api.spotify.com/v1/audio-analysis/1lLB0JErnXsekz6uMcAkiH,442640,4,blue
0.769,0.838,6,-10.841,1,0.0416,0.0472,0.916,0.125,0.0618,126.027,audio_features,3RxDmr0RuIT2MRBB9nRhqd,spotify:track:3RxDmr0RuIT2MRBB9nRhqd,https://api.spotify.com/v1/tracks/3RxDmr0RuIT2MRBB9nRhqd,https://api.spotify.com/v1/audio-analysis/3RxDmr0RuIT2MRBB9nRhqd,393780,4,blue
0.323,0.808,9,-15.723,1,0.0671,0.447,0.935,0.0736,0.0357,128.011,audio_features,5wVTsgWIIJu9sAxJkYmowu,spotify:track:5wVTsgWIIJu9sAxJkYmowu,https://api.spotify.com/v1/tracks/5wVTsgWIIJu9sAxJkYmowu,https://api.spotify.com/v1/audio-analysis/5wVTsgWIIJu9sAxJkYmowu,465000,4,blue
0.735,0.685,4,-14.318,0,0.0481,0.0971,0.83,0.251,0.19,118.009,audio_features,4RjYatfHXAZOzRcXJAwMoy,spotify:track:4RjYatfHXAZOzRcXJAwMoy,https://api.spotify.com/v1/tracks/4RjYatfHXAZOzRcXJAwMoy,https://api.spotify.com/v1/audio-analysis/4RjYatfHXAZOzRcXJAwMoy,435254,4,blue
0.661,0.682,10,-14.59,0,0.0438,0.051,0.878,0.111,0.0339,119.973,audio_features,4m8oWnVjlUHw67K5CY2o5O,spotify:track:4m8oWnVjlUHw67K5CY2o5O,https://api.spotify.com/v1/tracks/4m8oWnVjlUHw67K5CY2o5O,https://api.spotify.com/v1/audio-analysis/4m8oWnVjlUHw67K5CY2o5O,392000,4,blue
0.798,0.819,7,-10.985,1,0.139,0.346,0.874,0.186,0.0733,126.995,audio_features,2U2ucAX5qogATU2Fbmcthw,spotify:track:2U2ucAX5qogATU2Fbmcthw,https://api.spotify.com/v1/tracks/2U2ucAX5qogATU2Fbmcthw,https://api.spotify.com/v1/audio-analysis/2U2ucAX5qogATU2Fbmcthw,416693,4,blue
0.175,0.39,7,-15.969,1,0.0517,0.41,0.788,0.08,0.0391,119.977,audio_features,1UdC6AZ9h6U3lxwK6EkCp7,spotify:track:1UdC6AZ9h6U3lxwK6EkCp7,https://api.spotify.com/v1/tracks/1UdC6AZ9h6U3lxwK6EkCp7,https://api.spotify.com/v1/audio-analysis/1UdC6AZ9h6U3lxwK6EkCp7,384341,4,blue
